Time[min],PV [MWh],Wind[MWh],PV Scaled,Wind_Scaled
12:15 AM,0.00,1374.25,0,0.086409079
"2:45 PM,""8,743.50"",225.75,0.605673317,0.014194542"
"3:00 PM,""8,579.00"",236.25,0.594278193,0.014854754"
"3:15 PM,""8,386.25"",249.25,0.580926157,0.015672158"
"3:30 PM,""8,172.50"",263,0.566119424,0.01653672"
"3:45 PM,""7,923.75"",277,0.548888196,0.017417002"
"4:00 PM,""7,678.00"",295,0.531864782,0.018548793"
"4:15 PM,""7,352.50"",306,0.509316985,0.019240443"
"4:30 PM,""7,003.50"",318.75,0.485141313,0.020042128"
"4:45 PM,""6,634.50"",333.75,0.459580216,0.020985287"
"5:00 PM,""6,244.50"",354.75,0.432564422,0.022305709"
"5:15 PM,""5,803.75"",374.75,0.402033112,0.023563255"
"5:30 PM,""5,344.00"",418,0.370185647,0.026282696"
"5:45 PM,""4,855.25"",448.75,0.336329316,0.028216172"
"6:00 PM,""4,379.75"",484.75,0.303390828,0.030479754"
"6:15 PM,""3,841.25"",503.5,0.266088252,0.031658702"
"6:30 PM,""3,325.50"",522.5,0.230361596,0.03285337"
"6:45 PM,""2,822.75"",557.5,0.195535467,0.035054074"
"7:00 PM,""2,337.75"",604.75,0.161938903,0.038025025"
"7:15 PM,""1,871.75"",675,0.129658493,0.042442153"
"7:30 PM,""1,465.75"",751.25,0.101534359,0.047236544"
"7:45 PM,""1,139.00"",802.5,0.078899972,0.050459004"
8:00 PM,883.00,856.25,0.061166528,0.053838657
8:15 PM,681.75,882,0.047225686,0.055457746
8:30 PM,500.25,937.25,0.034652951,0.058931715
8:45 PM,337.75,1006.75,0.02339637,0.063301685
9:00 PM,202.50,1063.75,0.014027431,0.066885689
9:15 PM,101.00,1131.25,0.006996398,0.071129904
9:30 PM,33.75,1235.5,0.002337905,0.077684859
9:45 PM,7.50,1326.25,0.000519534,0.083390971
10:00 PM,1.25,1367.5,0,0.085984658
10:15 PM,0.25,1396.25,0,0.087792379
10:30 PM,0.00,1483.75,0,0.09329414
10:45 PM,0.00,1506.25,0,0.094708878
11:00 PM,0.00,1504,0,0.094567404
11:15 PM,0.00,1509,0,0.094881791
11:30 PM,0.00,1532,0,0.096327968
11:45 PM,0.00,1527.5,0,0.09604502
12:00 AM,0.00,1511.5,0,0.095038984
